game_id,n_episodes,cv_score,cv_std
126418,68,19.42770412437939,13.65466961553673
126419,73,16.33289239597909,11.269548770124306
126420,79,13.522676934523833,8.804599639012782
126421,66,18.222454563358937,12.941605395344245
126422,74,14.593841298068423,11.196525487284193
126423,74,17.617307779311393,13.066793225320708
126424,80,16.51266513658178,12.661837008043106
126425,64,16.382578199072437,11.29892724336003
126426,83,12.79663059600339,9.584410663607235
126427,73,14.951514570540258,10.12070169147157
126428,70,14.73172256805545,12.591287523448429
126429,76,20.110361578071235,15.795789282948624
126430,68,17.504093852782656,14.109326831625587
126431,86,18.721928645680517,12.85651031151532
126432,73,20.066624892920167,14.441953646463414
126433,68,15.570664679468749,10.931600969716591
126434,64,16.718963284685074,11.161436588480695
126435,76,15.514176330468151,10.70573953306072
126436,73,17.579369924886503,11.661654169197387
126437,67,16.69925471254506,12.634433013189287
126438,64,16.77247373276898,12.716767778763693
126439,83,14.170570716229346,11.753992093854944
126440,75,13.148991580099262,9.143201152509947
126441,75,16.439137063519485,12.631781985450157
126442,78,16.441385935744023,13.381750358457786
126443,71,16.505603439425485,11.13702073591526
126444,84,17.882889668683816,14.836952914534692
126445,85,19.825422807312894,16.036452247120312
126446,85,18.107720925936633,13.441778326414353
126447,69,17.512652750747694,13.185648789820233
126448,75,15.81309120126905,10.014594249229868
126449,79,16.350874583036564,10.852735758850567
126450,79,14.5938256849561,10.633679263518726
126451,88,18.748154678335176,14.048008344058584
126452,94,15.375682257929128,10.645821052418276
126453,93,16.226834602271833,11.768962938603792
126454,67,16.804045757912075,9.786065918216257
126455,79,17.342641079876078,12.350625033932326
126456,90,16.34736376028881,13.107280056040606
126457,71,16.57537017782177,11.046357435431059
126458,86,18.279191889277715,14.71133459679759
126459,83,14.923698924580103,11.418314206005292
126460,78,15.74127010339104,12.210074705048212
126461,100,16.860816507300502,14.16262849785975
126462,84,15.979683755019286,13.115710979887165
126463,78,14.695974712831635,10.742246393551445
126464,70,16.92387105665774,10.470994176322447
126465,75,17.896141166455845,14.362770381652226
126466,80,15.455095356589808,11.16016274188912
126467,73,18.781220337888897,12.300622563454159
126468,76,16.305947920889675,12.31591289746835
126469,72,15.944273965391439,9.35015474712415
126470,82,14.772582048839787,10.138502216790801
126471,81,15.601675634264492,13.049898571417664
126472,79,16.583783345858958,13.335188222339642
126473,82,15.98928914703847,12.754419727068166
126474,71,14.11684133943164,10.820242325315363
126475,84,16.02506256834485,12.624550387653322
126476,75,17.45179718984124,12.732324296313953
126477,75,14.873632003263223,10.031025348311237
126478,88,16.11539352571121,12.143842580777132
126479,95,17.153918692329313,13.731641302702563
126480,77,15.120935889842526,9.777964290537257
